,skill_id,nurse_id,ward_id,surgery_type_id
0,0,4,0,0
1,1,0,0,1
2,2,6,0,1
3,3,8,0,2
4,4,0,0,2
5,5,3,0,2
6,6,7,0,3
7,7,9,0,3
8,8,2,0,4
9,9,4,0,4
10,10,0,0,4
11,11,8,0,4
12,12,3,0,4
13,13,7,0,4
14,14,9,0,4
15,15,2,0,5
16,16,9,0,5
17,17,1,0,5
18,18,3,0,6
19,19,8,0,7
20,20,1,0,7
21,21,1,0,8
22,22,5,0,8
23,23,9,0,9
24,24,1,0,10
25,25,8,0,11
26,26,8,0,12
27,27,7,0,13
28,28,4,0,13
29,29,2,0,13
30,30,8,0,13
31,31,6,0,14
32,32,9,0,14
33,33,8,0,15
34,34,3,0,15
35,35,7,0,15
36,36,1,0,15
37,37,4,0,15
38,38,2,0,15
39,39,3,0,16
40,40,2,0,17
41,41,6,0,17
42,42,0,0,17
43,43,8,0,18
44,44,9,0,18
45,45,9,0,19
46,46,4,0,20
47,47,9,0,21
48,48,3,0,21
49,49,9,0,22
50,50,3,0,22
51,51,2,0,22
52,52,6,0,22
53,53,5,0,22
54,54,0,0,22
55,55,7,0,22
56,56,0,0,23
57,57,3,0,24
58,58,4,0,24
59,59,1,0,24
60,60,9,0,24
61,61,6,0,24
62,62,7,0,24
63,63,2,0,24
64,64,5,0,24
65,65,4,0,25
66,66,6,0,25
67,67,3,0,25
68,68,9,0,25
69,69,2,0,25
70,70,5,0,25
71,71,0,0,25
72,72,7,0,25
73,73,4,0,26
74,74,3,0,26
75,75,6,0,26
76,76,5,0,27
77,77,6,0,27
78,78,3,0,27
79,79,1,0,28
80,80,7,0,28
81,81,5,0,28
82,82,2,0,28
83,83,9,0,28
84,84,4,0,28
85,85,4,0,29
86,86,6,0,29
87,87,5,0,29
88,88,2,0,29
89,89,3,0,29
90,90,3,0,30
91,91,1,0,30
92,92,2,0,30
93,93,2,0,31
94,94,6,0,31
95,95,4,0,31
96,96,0,0,31
97,97,1,0,32
98,98,8,0,32
99,99,0,0,33
100,100,2,0,33
101,101,6,0,33
102,102,3,0,33
103,103,1,0,34
104,104,3,0,34
105,105,0,0,34
106,106,8,0,34
107,107,4,0,35
108,108,6,0,35
109,109,3,0,36
110,110,1,0,36
111,111,0,0,37
112,112,3,0,37
113,113,8,1,38
114,114,3,1,38
115,115,1,1,38
116,116,4,1,38
117,117,7,1,38
118,118,6,1,38
119,119,9,1,38
120,120,3,1,39
121,121,8,1,40
122,122,0,1,41
123,123,1,1,42
124,124,4,1,43
125,125,7,1,43
126,126,2,1,43
127,127,9,2,44
128,128,8,2,44
129,129,3,2,44
130,130,0,2,44
131,131,2,2,44
132,132,7,2,44
133,133,4,2,44
134,134,0,2,45
135,135,5,2,45
136,136,9,2,46
137,137,4,2,47
138,138,5,2,47
139,139,0,2,47
140,140,4,2,48
141,141,0,2,48
142,142,3,2,48
143,143,7,2,48
144,144,7,2,49
