,surgery_type_id,ward_id,unit_id,name,urgency,complexity,duration,utility
0,0,0,0,egamukye,3.0538766424326322,5,90,317
1,1,0,0,azjcysvp,3.4156026243697735,5,30,663
2,2,1,1,qzhpkllq,4.615384949642707,3,90,248
3,3,1,1,zxuwguns,5.055915282534542,3,390,679
4,4,1,1,pggelrsa,4.180737770495176,5,90,617
5,5,1,1,otnujszf,3.8280683242972735,3,30,496
6,6,1,2,fvaqiinx,3.2412704521574556,2,30,731
7,7,1,2,grhntwme,4.840674328334364,3,120,528
8,8,1,2,cwydxzkw,3.1878122406887397,5,150,734
9,9,1,2,rcbxdfur,5.119735751683828,4,30,692
10,10,1,3,gpejnhoj,3.1436578346575166,3,390,703
11,11,1,3,kslugmfd,1.9224639172515836,4,30,653
